r [m]	R_1(r) [∛(1/m)] 		R_2(r) [∛(1/m)] 		R_3(r) [∛(1/m)] 		R_4(r) [∛(1/m)] 		R_5(r) [∛(1/m)] 		R_6(r) [∛(1/m)] 		R_7(r) [∛(1/m)] 		R_8(r) [∛(1/m)] 		R_9(r) [∛(1/m)] 		R_10(r) [∛(1/m)] 		R_11(r) [∛(1/m)] 		R_12(r) [∛(1/m)] 		R_13(r) [∛(1/m)] 		R_14(r) [∛(1/m)] 		R_15(r) [∛(1/m)] 		R_16(r) [∛(1/m)] 		R_17(r) [∛(1/m)] 		R_18(r) [∛(1/m)] 		R_19(r) [∛(1/m)] 		R_20(r) [∛(1/m)] 	
 -4.31494302e+14  6.52460122e+14 -6.12531351e+14  6.98322110e+14
 -6.64711608e+14  7.13961732e+14 -4.63960616e+14  7.42200509e+14
 -4.70846617e+14  7.50157245e+14 -6.10788146e+14  7.97893457e+14]
3.703059E-10 [ 1.21291167e+14  4.53530482e+14 -4.56034991e+14  4.96027922e+14
  5.33048600e+14 -2.45672167e+14  5.98522053e+14  6.32659337e+14
 -4.31408402e+14  6.52334356e+14 -6.12374286e+14  6.98128096e+14
 -6.64475520e+14  7.13680434e+14 -4.63684086e+14  7.41815424e+14
 -4.70480665e+14  7.49649797e+14 -6.10253318e+14  7.97255158e+14]
3.703185E-10 [ 1.21291219e+14  4.53528560e+14 -4.56029064e+14  4.96015172e+14
  5.33025840e+14 -2.45645283e+14  5.98466695e+14  6.32582667e+14
 -4.31317219e+14  6.52200856e+14 -6.12207565e+14  6.97922160e+14
 -6.64224930e+14  7.13381866e+14 -4.63390589e+14  7.41406719e+14
 -4.70092281e+14  7.49111259e+14 -6.09685745e+14  7.96577799e+14]
3.703314E-10 [ 1.21291274e+14  4.53526523e+14 -4.56022780e+14  4.96001653e+14
  5.33001707e+14 -2.45616780e+14  5.98408001e+14  6.32501378e+14
 -4.31220544e+14  6.52059318e+14 -6.12030810e+14  6.97703832e+14
 -6.63959269e+14  7.13065348e+14 -4.63079460e+14  7.40973470e+14
 -4.69680592e+14  7.48540419e+14 -6.09084155e+14  7.95859868e+14]
3.703445E-10 [ 1.21291332e+14  4.53524365e+14 -4.56016124e+14  4.95987335e+14
  5.32976149e+14 -2.45586594e+14  5.98345841e+14  6.32415291e+14
 -4.31118165e+14  6.51909430e+14 -6.11843632e+14  6.97472635e+14
 -6.63677958e+14  7.12730193e+14 -4.62750024e+14  7.40514739e+14
 -4.69244709e+14  7.47936050e+14 -6.08447258e+14  7.95099827e+14]
3.703578E-10 [ 1.21291394e+14  4.53522082e+14 -4.56009083e+14  4.95972189e+14
  5.32949111e+14 -2.45554660e+14  5.98280083e+14  6.32324222e+14
 -4.31009867e+14  6.51750876e+14 -6.11645638e+14  6.97228084e+14
 -6.63380406e+14  7.12375699e+14 -4.62401594e+14  7.40029572e+14
 -4.68783729e+14  7.47296901e+14 -6.07773741e+14  7.94296116e+14]
3.703714E-10 [ 1.21291459e+14  4.53519670e+14 -4.56001642e+14  4.95956182e+14
  5.32920538e+14 -2.45520915e+14  5.98210595e+14  6.32227988e+14
 -4.30895428e+14  6.51583336e+14 -6.11436427e+14  6.96969684e+14
 -6.63066015e+14  7.12001154e+14 -4.62033473e+14  7.39516999e+14
 -4.68296733e+14  7.46621704e+14 -6.07062275e+14  7.93447152e+14]
3.703852E-10 [ 1.21291528e+14  4.53517123e+14 -4.55993786e+14  4.95939284e+14
  5.32890373e+14 -2.45485292e+14  5.98137238e+14  6.32126399e+14
 -4.30774626e+14  6.51406481e+14 -6.11215593e+14  6.96696934e+14
 -6.62734176e+14  7.11605835e+14 -4.61644952e+14  7.38976037e+14
 -4.67782793e+14  7.45909173e+14 -6.06311510e+14  7.92551331e+14]
3.703993E-10 [ 1.21291601e+14  4.53514436e+14 -4.55985502e+14  4.95921462e+14
  5.32858561e+14 -2.45447723e+14  5.98059876e+14  6.32019264e+14
 -4.30647234e+14  6.51219981e+14 -6.10982721e+14  6.96409324e+14
 -6.62384270e+14  7.11189007e+14 -4.61235313e+14  7.38405688e+14
 -4.67240963e+14  7.45158004e+14 -6.05520076e+14  7.91607027e+14]
3.704136E-10 [ 1.21291678e+14  4.53511606e+14 -4.55976772e+14  4.95902684e+14
  5.32825042e+14 -2.45408141e+14  5.97978367e+14  6.31906389e+14
 -4.30513020e+14  6.51023498e+14 -6.10737392e+14  6.96106337e+14
 -6.62015670e+14  7.10749925e+14 -4.60803826e+14  7.37804938e+14
 -4.66670286e+14  7.44366874e+14 -6.04686589e+14  7.90612593e+14]
3.704282E-10 [ 1.21291758e+14  4.53508627e+14 -4.55967583e+14  4.95882917e+14
  5.32789758e+14 -2.45366476e+14  5.97892568e+14  6.31787575e+14
 -4.30371751e+14  6.50816689e+14 -6.10479179e+14  6.95787447e+14
 -6.61627740e+14  7.10287834e+14 -4.60349751e+14  7.37172763e+14
 -4.66069792e+14  7.43534443e+14 -6.03809644e+14  7.89566361e+14]
3.704430E-10 [ 1.21291843e+14  4.53505493e+14 -4.55957918e+14  4.95862127e+14
  5.32752649e+14 -2.45322657e+14  5.97802335e+14  6.31662623e+14
 -4.30223188e+14  6.50599207e+14 -6.10207649e+14  6.95452121e+14
 -6.61219832e+14  7.09801965e+14 -4.59872339e+14  7.36508120e+14
 -4.65438499e+14  7.42659355e+14 -6.02887820e+14  7.88466645e+14]
3.704580E-10 [ 1.21291932e+14  4.53502200e+14 -4.55947762e+14  4.95840280e+14
  5.32713654e+14 -2.45276613e+14  5.97707518e+14  6.31531328e+14
 -4.30067091e+14  6.50370699e+14 -6.09922364e+14  6.95099818e+14
 -6.60791292e+14  7.09291542e+14 -4.59370829e+14  7.35809957e+14
 -4.64775411e+14  7.41740237e+14 -6.01919679e+14  7.87311739e+14]
3.704733E-10 [ 1.21292026e+14  4.53498742e+14 -4.55937098e+14  4.95817342e+14
  5.32672711e+14 -2.45228270e+14  5.97607970e+14  6.31393483e+14
 -4.29903213e+14  6.50130806e+14 -6.09622878e+14  6.94729991e+14
 -6.60341456e+14  7.08755777e+14 -4.58844452e+14  7.35077206e+14
 -4.64079521e+14  7.40775699e+14 -6.00903769e+14  7.86099919e+14]
3.704889E-10 [ 1.21292124e+14  4.53495114e+14 -4.55925910e+14  4.95793277e+14
  5.32629758e+14 -2.45177556e+14  5.97503538e+14  6.31248879e+14
 -4.29731307e+14  6.49879166e+14 -6.09308739e+14  6.94342084e+14
 -6.59869651e+14  7.08193872e+14 -4.58292429e+14  7.34308787e+14
 -4.63349811e+14  7.39764337e+14 -5.99838620e+14  7.84829444e+14]
3.705047E-10 [ 1.21292227e+14  4.53491311e+14 -4.55914182e+14  4.95768049e+14
  5.32584731e+14 -2.45124396e+14  5.97394068e+14  6.31097303e+14
 -4.29551120e+14  6.49615411e+14 -6.08979490e+14  6.93935534e+14
 -6.59375196e+14  7.07605020e+14 -4.57713971e+14  7.33503609e+14
 -4.62585251e+14  7.38704732e+14 -5.98722749e+14  7.83498557e+14]
3.705207E-10 [ 1.21292335e+14  4.53487327e+14 -4.55901896e+14  4.95741623e+14
  5.32537565e+14 -2.45068712e+14  5.97279403e+14  6.30938539e+14
 -4.29362398e+14  6.49339168e+14 -6.08634667e+14  6.93509771e+14
 -6.58857401e+14  7.06988403e+14 -4.57108281e+14  7.32660566e+14
 -4.61784799e+14  7.37595449e+14 -5.97554657e+14  7.82105483e+14]
3.705370E-10 [ 1.21292447e+14  4.53483157e+14 -4.55889036e+14  4.95713962e+14
  5.32488195e+14 -2.45010429e+14  5.97159386e+14  6.30772368e+14
 -4.29164880e+14  6.49050060e+14 -6.08273802e+14  6.93064218e+14
 -6.58315568e+14  7.06343195e+14 -4.56474552e+14  7.31778543e+14
 -4.60947404e+14  7.36435042e+14 -5.96332834e+14  7.80648435e+14]
3.705535E-10 [ 1.21292565e+14  4.53478795e+14 -4.55875584e+14  4.95685028e+14
  5.32436555e+14 -2.44949469e+14  5.97033856e+14  6.30598569e+14
 -4.28958306e+14  6.48747703e+14 -6.07896418e+14  6.92598290e+14
 -6.57748991e+14  7.05668558e+14 -4.55811968e+14  7.30856410e+14
